Date of Auction,Auction List No.,Lot No.,Description,Quantity,Unit
"16/06/2022",1/2022,C-401,Bracelet/Bangle,59,Nos.
"16/06/2022",1/2022,C-401,Brassiere,81,Nos.
"16/06/2022",1/2022,C-401,"Clothing, Various",48,Nos.
"16/06/2022",1/2022,C-401,Finger Ring,25,Nos.
"16/06/2022",1/2022,C-401,Handbag/Bag,25,Nos.
"16/06/2022",1/2022,C-401,Hanger,48,Nos.
"16/06/2022",1/2022,C-401,Lighter,25,Nos.
"16/06/2022",1/2022,C-401,Necklace/Choker,21,Nos.
"16/06/2022",1/2022,C-401,Trinket/Novelty/Imitation Jewellery,0.6,Kg.
"16/06/2022",1/2022,C-401,Wallet/Purse,33,Nos.
"16/06/2022",1/2022,C-401,Mobile Phone Accessory,59,Nos.
"16/06/2022",1/2022,C-401,Socks/Stockings,7.5,Kgs.
"16/06/2022",1/2022,C-401,Scarf/Neckerchief/Shawl,20,Kgs.
"16/06/2022",1/2022,C-401,Hardware and Appliance,1,No.
"16/06/2022",1/2022,C-402,Natural Amber,4,Kg.
"16/06/2022",1/2022,C-402,Nature Rough Yellow Agate (7 Numbers),1.058,Kg.
"16/06/2022",1/2022,C-402,Nature Rough Yellow Agate (5 Numbers),0.909,Kg.
"16/06/2022",1/2022,C-402,Nature Rough Yellow Agate (5 Numbers),0.969,Kg.
"16/06/2022",1/2022,C-402,Nature Rough Yellow Agate (5 Numbers),0.925,Kg.
"16/06/2022",1/2022,C-402,Nature Rough Yellow Agate (5 Numbers),0.918,Kg.
"16/06/2022",1/2022,C-402,Nature Rough Yellow Agate (6 Numbers),1.101,Kg.
"16/06/2022",1/2022,C-403,"Silver Accessories, Net Weight: Approximate 20 Kgs., Gross Weight (Including Packing Materials): Approximate 20.1135 Kgs. (Used)",1,Lot
"16/06/2022",1/2022,C-404,"Photocopy Machine (Brand: Fuji Xerox, Model: J-B050)",3,Nos.
"16/06/2022",1/2022,C-404,Paper Cutting Machine  ,2,Nos.
"16/06/2022",1/2022,C-404,Paper Folding Machine  ,1,No.
"16/06/2022",1/2022,C-404,Manual Forklift,1,No.
"16/06/2022",1/2022,C-405,Forklift (Manual),10,Nos.
"16/06/2022",1/2022,C-405,Hand Pallet Truck,1,No.
"16/06/2022",1/2022,C-406,"Mobile Phone (Brand: Apple, Model: iphone 6)",1,No.
"16/06/2022",1/2022,C-406,"Mobile Phone (Brand: Apple, Model: iphone 6)",1,No.
"16/06/2022",1/2022,C-406,"Mobile Phone (Brand: Apple, Model: iphone 6s)",1,No.
"16/06/2022",1/2022,C-406,"Mobile Phone (Brand: Apple, Model: iphone 6s)",1,No.
"16/06/2022",1/2022,C-407,"Used Private Car (without Key)
Brand: TOYOTA
Reg. No.: PW4882
Chassis No.: MNH10-0089953",1,No.
"16/06/2022",1/2022,C-408,"Used Private Car (with Key) (Damaged)
Brand: Toyota
Reg. No.: RX 7370
Chassis No.: SXE10-0022995",1,No.
"16/06/2022",1/2022,C-409,Wood Beads (Approx. 187 kg),1,Lot
"16/06/2022",1/2022,C-409,Wood Logs (Approx. 430.7 kg),1,Lot
"16/06/2022",1/2022,C-409,Wood Beads (Approx. 49.8 kg),1,Lot
"16/06/2022",1/2022,C-409,Wood Logs (Approx. 459.5 kg),1,Lot
"16/06/2022",1/2022,C-410,Diospyros Vaccinioides (Approx. 49 kg),1,Lot
"16/06/2022",1/2022,C-410,Wood Logs (Approx. 722.52 kg),1,Lot
"16/06/2022",1/2022,C-410,Wooden Pole,2,Nos.
"16/06/2022",1/2022,C-410,Pterocarpus Santalinus (Not Designated Parts under Cap. 586 Protection of Endangered Species of Animals and Plants Ordinance) (Approx. 45.9 kg),1,Lot
"16/06/2022",1/2022,C-410,Wood Logs (11CTN) (Contained in 11 Carton Boxes and Wrapped by 11 Nylon Bags) (Approx. 176 kg),1,Lot
"16/06/2022",1/2022,C-411,"Tudor Watch (Model: 74034, Serial No.: I32500)",1,No.
"16/06/2022",1/2022,C-411,Box,1,No.
"16/06/2022",1/2022,C-411,Warranty Card,1,No.
"16/06/2022",1/2022,C-412,"Desktop Computer (without Hard Disk) (Brand: Lenovo, Model: 7522A26) S/N: R84074F",1,No.
"16/06/2022",1/2022,C-413,Bracelet/Bangle,1,No.
"16/06/2022",1/2022,C-413,Cloth Bag,15,Nos.
"16/06/2022",1/2022,C-413,"Clothing, Various",111,Nos.
"16/06/2022",1/2022,C-413,Coloured Stone,13,Nos.
"16/06/2022",1/2022,C-413,Floor Mat/Carpet,21,Nos.
"16/06/2022",1/2022,C-413,Necklace/Choker,4,Nos.
"16/06/2022",1/2022,C-413,Scarf/Neckerchief/Shawl,122,Nos.
"16/06/2022",1/2022,C-413,Socks/Stockings,7,Pairs
"16/06/2022",1/2022,C-413,Scarf/Neckerchief/Shawl,13,Kg.
"16/06/2022",1/2022,C-414,"Used Private Car (with Key)
Brand: Mercedes-Benz
Reg. No.: VB5674
Chassis no.: WDD2040542A198380",1,No.
"16/06/2022",1/2022,C-415,"Used Private Car (without Key)
Brand: Honda
Model: Freed
Reg. No.: VH8796
Chassis No.: GB3-1124829",1,No.
"16/06/2022",1/2022,C-416,"Used Private Car (without Key)
Brand: Peugeot
Model: 206CC
Chassis No.: VF32DRFNF41749408",1,No.
"16/06/2022",1/2022,C-417,"Lens (Brand: Canon, Model: EF 17-40mm f/4.0L USM)",34,Nos.
"16/06/2022",1/2022,C-417,"Lens (Brand: Nikon, Model: AF-S Nikkor 85mm f/1.8G)",30,Nos.
"16/06/2022",1/2022,C-417,"Camera (Brand: Samsung, Model: WB150F)",139,Nos.
"16/06/2022",1/2022,C-417,"Camera (Brand: Canon, Model: Ixus240HS)",1,No.
"16/06/2022",1/2022,C-417,"Digital Video Camera (Brand: SONY, Model: HDR-PJ380)",199,Nos.
"16/06/2022",1/2022,C-417,"Camera (Brand: Canon, Model: PowerShot SX240 HS)",429,Nos.
"16/06/2022",1/2022,C-417,"Digital Camera Body (Brand: SONY, Model: NEX-5R)",13,Nos.
"16/06/2022",1/2022,C-417,"Digital Camera Body (Brand: SONY, Model: NEX-6)",49,Nos.
"16/06/2022",1/2022,C-417,"Camera (Brand: Canon, Model: PowerShot G15)",78,Nos.
"16/06/2022",1/2022,C-417,"Lens (Brand: Canon, Model: EF-S 18-200mm f/3.5-5.6 IS)",50,Nos.
"16/06/2022",1/2022,C-417,"Camera (Brand: Canon, Model: Ixy 610F)",300,Nos.
"16/06/2022",1/2022,C-417,"Lens (Brand: SONY, Model: E 55-210mm F4.5-6.3 OSS)",12,Nos.
"16/06/2022",1/2022,C-417,"Lens (Brand: SONY, Model: E PZ 16-50mm F3.5-5.6 OSS)",62,Nos.
"16/06/2022",1/2022,C-417,"Digital Single Lens Reflex Camera Body (Brand: Canon, Model: EOS 60D)",50,Nos.
"16/06/2022",1/2022,C-417,"Lens (Brand: SONY, Model: E 18-55mm F3.5-5.6 OSS)",16,Nos.
"16/06/2022",1/2022,C-417,"Digital Camera Body (Brand: SONY, Model: NEX-7)",15,Nos.
"16/06/2022",1/2022,C-418,"Used Private Car (without Key)
Brand: Honda
Reg. No.: SW 8462
Chassis No.: JHLGH48702S200064",1,No.
"16/06/2022",1/2022,C-419,"Used Private Car (without Key)
Brand: HONDA
Reg. No.: WC8021
Chassis No.: JHMRN18301C201455",1,No.
"16/06/2022",1/2022,C-420,"Used Light Goods Vehicle (without Key)
Brand: Mercedes Benz
Reg. No.: SL6332
Chassis No.: WDF63960323870592",1,No.
