"拍卖日期","拍卖物品清单编号","批号","物品详情","数量","单位"
"16/06/2022","1/2022","C-401","手镯/手链","59","(只)"
"16/06/2022","1/2022","C-401","胸围","81","(个)"
"16/06/2022","1/2022","C-401","衣物","48","(件)"
"16/06/2022","1/2022","C-401","戒指","25","(只)"
"16/06/2022","1/2022","C-401","手袋/袋","25","(个)"
"16/06/2022","1/2022","C-401","衣架","48","(个)"
"16/06/2022","1/2022","C-401","打火机","25","(个)"
"16/06/2022","1/2022","C-401","颈链","21","(条)"
"16/06/2022","1/2022","C-401","饰物","0.6","(公斤)"
"16/06/2022","1/2022","C-401","钱包","33","(个)"
"16/06/2022","1/2022","C-401","手提电话配件","59","(个)"
"16/06/2022","1/2022","C-401","袜","7.5","(公斤)"
"16/06/2022","1/2022","C-401","围巾","20","(公斤)"
"16/06/2022","1/2022","C-401","铁器及器具","1","(个)"
"16/06/2022","1/2022","C-402","天然琥珀","4","(公斤)"
"16/06/2022","1/2022","C-402","天然黄玛瑙原石","1.058","(公斤)"
"16/06/2022","1/2022","C-402","天然黄玛瑙原石","0.909","(公斤)"
"16/06/2022","1/2022","C-402","天然黄玛瑙原石","0.969","(公斤)"
"16/06/2022","1/2022","C-402","天然黄玛瑙原石","0.925","(公斤)"
"16/06/2022","1/2022","C-402","天然黄玛瑙原石","0.918","(公斤)"
"16/06/2022","1/2022","C-402","天然黄玛瑙原石","1.101","(公斤)"
"16/06/2022","1/2022","C-403","旧银配件","1","(批)"
"16/06/2022","1/2022","C-404","影印机","3","(部)"
"16/06/2022","1/2022","C-404","切纸机","2","(部)"
"16/06/2022","1/2022","C-404","折纸机","1","(部)"
"16/06/2022","1/2022","C-404","手唧车","1","(部)"
"16/06/2022","1/2022","C-405","唧车","10","(部)"
"16/06/2022","1/2022","C-405","手唧车","1","(部)"
"16/06/2022","1/2022","C-406","手提电话","1","(部)"
"16/06/2022","1/2022","C-406","手提电话","1","(部)"
"16/06/2022","1/2022","C-406","手提电话","1","(部)"
"16/06/2022","1/2022","C-406","手提电话","1","(部)"
"16/06/2022","1/2022","C-407","旧私家车 (无匙)","1","(辆)"
"16/06/2022","1/2022","C-408","旧私家车(有匙)(已损坏)","1","(辆)"
"16/06/2022","1/2022","C-409","木珠","1","(批)"
"16/06/2022","1/2022","C-409","木头","1","(批)"
"16/06/2022","1/2022","C-409","木珠","1","(批)"
"16/06/2022","1/2022","C-409","木头","1","(批)"
"16/06/2022","1/2022","C-410","小果柿","1","(批)"
"16/06/2022","1/2022","C-410","木头","1","(批)"
"16/06/2022","1/2022","C-410","木竿","2","(支)"
"16/06/2022","1/2022","C-410","小叶紫檀","1","(批)"
"16/06/2022","1/2022","C-410","木头","1","(批)"
"16/06/2022","1/2022","C-411","旧手表","1","(只)"
"16/06/2022","1/2022","C-411","盒","1","(个)"
"16/06/2022","1/2022","C-411","保用证","1","(张)"
"16/06/2022","1/2022","C-412","桌上电脑 (不连硬碟机)","1","(部)"
"16/06/2022","1/2022","C-413","手镯/手链","1","(只)"
"16/06/2022","1/2022","C-413","布袋","15","(个)"
"16/06/2022","1/2022","C-413","衣物","111","(件)"
"16/06/2022","1/2022","C-413","颜色石","13","(件)"
"16/06/2022","1/2022","C-413","胶地毯","21","(张)"
"16/06/2022","1/2022","C-413","颈链","4","(条)"
"16/06/2022","1/2022","C-413","围巾","122","(条)"
"16/06/2022","1/2022","C-413","袜","7","(对)"
"16/06/2022","1/2022","C-413","围巾","13","(公斤)"
"16/06/2022","1/2022","C-414","旧私家车 (有匙)","1","(辆)"
"16/06/2022","1/2022","C-415","旧私家车 (无匙)","1","(辆)"
"16/06/2022","1/2022","C-416","旧私家车 (无匙)","1","(辆)"
"16/06/2022","1/2022","C-417","镜头","34","(件)"
"16/06/2022","1/2022","C-417","镜头","30","(件)"
"16/06/2022","1/2022","C-417","相机","139","(件)"
"16/06/2022","1/2022","C-417","相机","1","(件)"
"16/06/2022","1/2022","C-417","数码摄录机","199","(件)"
"16/06/2022","1/2022","C-417","相机","429","(件)"
"16/06/2022","1/2022","C-417","数码相机机身","13","(件)"
"16/06/2022","1/2022","C-417","数码相机机身","49","(件)"
"16/06/2022","1/2022","C-417","相机","78","(件)"
"16/06/2022","1/2022","C-417","镜头","50","(件)"
"16/06/2022","1/2022","C-417","相机","300","(件)"
"16/06/2022","1/2022","C-417","镜头","12","(件)"
"16/06/2022","1/2022","C-417","镜头","62","(件)"
"16/06/2022","1/2022","C-417","单镜反光机机身","50","(件)"
"16/06/2022","1/2022","C-417","镜头","16","(件)"
"16/06/2022","1/2022","C-417","数码相机机身","15","(件)"
"16/06/2022","1/2022","C-418","旧私家车 (无匙) (品牌: 本田)","1","(部)"
