"拍卖日期","拍卖物品清单编号","批号","成交价 (港币/元)"
2022-07-14,"2/2022","C-401",1300
2022-07-14,"2/2022","C-402",4600
2022-07-14,"2/2022","C-403",1500
2022-07-14,"2/2022","C-404",1600
2022-07-14,"2/2022","C-415",30000
2022-07-14,"2/2022","C-416",35000
2022-07-14,"2/2022","C-417",37000
2022-07-14,"2/2022","C-418",14000
2022-07-14,"2/2022","C-419",11000
2022-07-14,"2/2022","C-420",10500
2022-07-14,"2/2022","C-421",10500
2022-07-14,"2/2022","C-422",9000
2022-07-14,"2/2022","C-424",18000
2022-07-14,"2/2022","C-425",8900
2022-07-14,"2/2022","C-426",8800
2022-07-14,"2/2022","C-427",19500
2022-07-14,"2/2022","C-428",16000
2022-07-14,"2/2022","C-429",30000
2022-07-14,"2/2022","UP-714",350
2022-07-14,"2/2022","UP-717",600
2022-07-14,"2/2022","UP-728",6500
2022-07-14,"2/2022","M-103",120
2022-07-14,"2/2022","M-104",2000
2022-07-14,"2/2022","M-106",200
2022-07-14,"2/2022","M-109",100
2022-07-14,"2/2022","M-111",2300
2022-07-14,"2/2022","M-112",1000
2022-07-14,"2/2022","M-113",400
2022-07-14,"2/2022","M-116",1700
2022-07-14,"2/2022","M-125",150
2022-07-14,"2/2022","M-130",350
2022-07-14,"2/2022","M-131",550
2022-07-14,"2/2022","M-133",4000
2022-07-14,"2/2022","M-134",5000
2022-07-14,"2/2022","M-135",8000
2022-07-14,"2/2022","M-136",13000
2022-07-14,"2/2022","M-137",50
2022-07-14,"2/2022","M-142",50
2022-07-14,"2/2022","M-143",550
2022-07-14,"2/2022","M-144",400
2022-07-14,"2/2022","M-145",2600
2022-07-14,"2/2022","M-146",35000
2022-07-14,"2/2022","M-153",150
2022-07-14,"2/2022","M-155",400
2022-07-14,"2/2022","M-156",450
2022-07-14,"2/2022","M-157",50
2022-07-14,"2/2022","M-158",1200
2022-07-14,"2/2022","M-159",2800
2022-07-14,"2/2022","M-161",40
2022-07-14,"2/2022","M-163",30
2022-07-14,"2/2022","M-164",20
2022-07-14,"2/2022","M-165",280
2022-07-14,"2/2022","M-166",500
2022-07-14,"2/2022","M-167",100
2022-07-14,"2/2022","M-168",50
2022-07-14,"2/2022","M-175",40
2022-07-14,"2/2022","M-178",100
2022-07-14,"2/2022","M-180",100
2022-07-14,"2/2022","M-181",850
2022-07-14,"2/2022","M-196",400
2022-07-14,"2/2022","M-200",7000
2022-07-14,"2/2022","MS-307",8200
2022-07-14,"2/2022","MS-310",700
2022-07-14,"2/2022","MS-313",450
